name,latitude,longitude,date_of_occurrence
OTHER OFFENSE,41.951065743,-87.657993523,2024-07-14T12:17:00.000
DECEPTIVE PRACTICE,41.898434351,-87.690519375,2024-07-14T12:20:00.000
CRIMINAL DAMAGE,41.770718855,-87.569899506,2024-07-14T12:20:00.000
BATTERY,41.764400258,-87.643009097,2024-07-14T12:24:00.000
BURGLARY,41.754804422,-87.574830554,2024-07-14T12:25:00.000
BURGLARY,41.800982911,-87.676934029,2024-07-14T12:27:00.000
THEFT,41.883500187,-87.627876698,2024-07-14T12:29:00.000
MOTOR VEHICLE THEFT,41.917027233,-87.63699069,2024-07-14T12:30:00.000
CRIMINAL DAMAGE,41.976753039,-87.816894286,2024-07-14T12:30:00.000
THEFT,41.975548611,-87.888399886,2024-07-14T12:31:00.000
NARCOTICS,41.888375011,-87.765144006,2024-07-14T12:34:00.000
WEAPONS VIOLATION,41.892461897,-87.628611816,2024-07-14T12:39:00.000
WEAPONS VIOLATION,41.880257857,-87.764103272,2024-07-14T12:42:00.000
THEFT,41.932191946,-87.64474923,2024-07-14T12:42:00.000
THEFT,41.890384236,-87.624109917,2024-07-14T12:46:00.000
BATTERY,41.780390363,-87.699520105,2024-07-14T12:49:00.000
WEAPONS VIOLATION,41.774478372,-87.592936381,2024-07-14T12:52:00.000
INTERFERENCE WITH PUBLIC OFFICER,41.885899624,-87.634769139,2024-07-14T12:53:00.000
WEAPONS VIOLATION,41.853448121,-87.685677062,2024-07-14T13:00:00.000
MOTOR VEHICLE THEFT,41.897596067,-87.623218373,2024-07-14T13:00:00.000
THEFT,41.876587174,-87.628727499,2024-07-14T13:00:00.000
BATTERY,41.867414944,-87.627231186,2024-07-14T13:00:00.000
CRIMINAL DAMAGE,41.795459149,-87.697017281,2024-07-14T13:00:00.000
ASSAULT,41.772991365,-87.68958117,2024-07-14T13:00:00.000
MOTOR VEHICLE THEFT,41.909322594,-87.683536531,2024-07-14T13:00:00.000
THEFT,41.900287416,-87.646098579,2024-07-14T13:00:00.000
WEAPONS VIOLATION,41.839961742,-87.729296506,2024-07-14T13:10:00.000
HOMICIDE,41.870823127,-87.718843155,2024-07-14T13:10:00.000
CRIMINAL TRESPASS,41.875971051,-87.741250934,2024-07-14T13:15:00.000
WEAPONS VIOLATION,41.879774973,-87.724529902,2024-07-14T13:17:00.000
ASSAULT,41.793106778,-87.664557186,2024-07-14T13:17:00.000
MOTOR VEHICLE THEFT,41.893286299,-87.670748643,2024-07-14T13:20:00.000
THEFT,41.91058325,-87.726353375,2024-07-14T13:28:00.000
THEFT,41.852264776,-87.721612191,2024-07-14T13:30:00.000
THEFT,41.881722193,-87.624356274,2024-07-14T13:30:00.000
DECEPTIVE PRACTICE,41.881722193,-87.624356274,2024-07-14T13:30:00.000
THEFT,41.968275606,-87.724912458,2024-07-14T13:30:00.000
BATTERY,41.928158638,-87.726087574,2024-07-14T13:30:00.000
BURGLARY,41.701204326,-87.624544733,2024-07-14T13:30:00.000
NARCOTICS,41.770155037,-87.682501515,2024-07-14T13:32:00.000
THEFT,41.749189073,-87.684047252,2024-07-14T13:32:00.000
ASSAULT,41.700713642,-87.629098154,2024-07-14T13:35:00.000
OTHER OFFENSE,41.751672881,-87.647708108,2024-07-14T13:47:00.000
ASSAULT,41.896988826,-87.629781503,2024-07-14T13:50:00.000
THEFT,42.011363066,-87.690818628,2024-07-14T13:52:00.000
MOTOR VEHICLE THEFT,41.823665846,-87.603072021,2024-07-14T14:00:00.000
THEFT,41.879273009,-87.627706543,2024-07-14T14:00:00.000
THEFT,41.765309723,-87.637731975,2024-07-14T14:00:00.000
THEFT,41.775524682,-87.747058971,2024-07-14T14:00:00.000
MOTOR VEHICLE THEFT,41.897603273,-87.755666422,2024-07-14T14:00:00.000
THEFT,41.879456665,-87.628119464,2024-07-14T14:00:00.000
THEFT,41.726248504,-87.653066834,2024-07-14T14:00:00.000
OTHER OFFENSE,41.73750626,-87.692306253,2024-07-14T14:00:00.000
DECEPTIVE PRACTICE,41.794730757,-87.593293757,2024-07-14T14:00:00.000
BURGLARY,41.928247574,-87.646426958,2024-07-14T14:00:00.000
THEFT,42.019494719,-87.691914406,2024-07-14T14:00:00.000
