STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,GREEN,BROWN,PURPLE,PURPLE EXPRESS,Y,PINK,ORANGE,Location,latitude,longitude
30249,N,Kimball (Terminal arrival),Kimball,Kimball (Brown Line),41290,True,False,False,False,True,False,False,False,False,False,"(41.967901, -87.713065)",41.967901,-87.713065
30265,E,California (63rd-bound),California,California (Green Line),41360,True,False,False,True,False,False,False,False,False,False,"(41.88422, -87.696234)",41.88422,-87.696234
30013,S,Belmont (O'Hare Branch) (Forest Pk-bound),Belmont,Belmont (Blue Line),40060,False,False,True,False,False,False,False,False,False,False,"(41.938132, -87.712359)",41.938132,-87.712359
30081,S,Roosevelt (Midway-63rd-bound),Roosevelt,"Roosevelt (Red, Orange & Green lines)",41400,True,False,False,True,False,False,False,False,False,True,"(41.867405, -87.62659)",41.867405,-87.62659
30295,E,Morgan (Loop-63rd-bound),Morgan,Morgan (Green & Pink lines),41510,True,False,False,True,False,False,False,False,True,False,"(41.885586, -87.652193)",41.885586,-87.652193
30162,W,18th (54th/Cermak-bound),18th,18th (Pink Line),40830,True,False,False,False,False,False,False,False,True,False,"(41.857908, -87.669147)",41.857908,-87.669147
30077,W,Forest Park (Terminal Arrival),Forest Park,Forest Park (Blue Line),40390,True,False,True,False,False,False,False,False,False,False,"(41.874257, -87.817318)",41.874257,-87.817318
30060,N,Western (Loop-bound),Western,Western (Orange Line),40310,True,False,False,False,False,False,False,False,False,True,"(41.804546, -87.684019)",41.804546,-87.684019
30179,E,Pulaski (O'Hare-bound),Pulaski,Pulaski (Blue Line),40920,False,False,True,False,False,False,False,False,False,False,"(41.873797, -87.725663)",41.873797,-87.725663
30386,N,Wilson (Linden-bound),Wilson,Wilson (Red & Purple lines),40540,True,False,False,False,False,False,True,False,False,False,"(41.964273, -87.657588)",41.964273,-87.657588
30181,N,Midway (Loop-bound),Midway,Midway (Orange Line),40930,True,False,False,False,False,False,False,False,False,True,"(41.78661, -87.737875)",41.78661,-87.737875
